2020. 12. 관광통계,,,,,,,,,,
,,,,,,,,,"(단위: 명, %)",
,스페인,68 ,"1,733 ",-96.1 ,0.1 ,"3,649 ","30,656 ",-88.1 ,0.1 ,
,루마니아,186 ,774 ,-76.0 ,0.3 ,"3,200 ","12,781 ",-75.0 ,0.1 ,
,노르웨이,20 ,663 ,-97.0 ,0.0 ,"1,507 ","11,770 ",-87.2 ,0.1 ,
,스웨덴,39 ,"1,290 ",-97.0 ,0.1 ,"2,188 ","19,709 ",-88.9 ,0.1 ,
,폴란드,307 ,"1,407 ",-78.2 ,0.5 ,"5,563 ","23,913 ",-76.7 ,0.2 ,
,스위스,39 ,"1,014 ",-96.2 ,0.1 ,"1,884 ","17,847 ",-89.4 ,0.1 ,
,포르투갈,260 ,"1,003 ",-74.1 ,0.4 ,"1,856 ","11,425 ",-83.8 ,0.1 ,
,오스트리아,87 ,781 ,-88.9 ,0.1 ,"2,397 ","12,570 ",-80.9 ,0.1 ,
,핀란드,168 ,"1,065 ",-84.2 ,0.3 ,"3,033 ","13,912 ",-78.2 ,0.1 ,
,벨기에,118 ,754 ,-84.4 ,0.2 ,"2,497 ","14,539 ",-82.8 ,0.1 ,
,크로아티아,117 ,381 ,-69.3 ,0.2 ,"2,047 ","5,962 ",-65.7 ,0.1 ,
,그리스,169 ,754 ,-77.6 ,0.3 ,"3,038 ","9,756 ",-68.9 ,0.1 ,
,불가리아,189 ,442 ,-57.2 ,0.3 ,"1,651 ","6,536 ",-74.7 ,0.1 ,
,덴마크,79 ,782 ,-89.9 ,0.1 ,"2,059 ","13,453 ",-84.7 ,0.1 ,
,아일랜드,37 ,645 ,-94.3 ,0.1 ,"1,631 ","10,211 ",-84.0 ,0.1 ,
,구주 기타,368 ,"2,941 ",-87.5 ,0.6 ,"9,163 ","45,810 ",-80.0 ,0.4 ,
,구주소계,"9,054","73,513",-87.7 ,14.5 ,"214,911 ","1,095,256 ",-80.4 ,8.5 ,
대양주,오스트레일리아,230 ,"19,289 ",-98.8 ,0.4 ,"23,172 ","173,218 ",-86.6 ,0.9 ,
,뉴질랜드,125 ,"4,355 ",-97.1 ,0.2 ,"6,598 ","38,954 ",-83.1 ,0.3 ,
,대양주 기타,32 ,252 ,-87.3 ,0.1 ,684 ,"5,819 ",-88.2 ,0.0 ,
,대양주소계,387,"23,896",-98.4 ,0.6 ,"30,454 ","217,991 ",-86.0 ,1.2 ,
아프리카,남아프리카공화국,98 ,922 ,-89.4 ,0.2 ,"3,143 ","13,144 ",-76.1 ,0.1 ,
,아프리카 기타,718 ,"3,078 ",-76.7 ,1.2 ,"11,231 ","47,115 ",-76.2 ,0.4 ,
,아프리카소계,816,"4,000",-79.6 ,1.3 ,"14,374 ","60,259 ",-76.1 ,0.6 ,
기타,국적미상,0,47,-100.0 ,0.0 ,141 ,612 ,-77.0 ,0.0 ,
교포,교포,915,"5,281",-82.7 ,1.5 ,"26,391 ","192,502 ",-86.3 ,1.0 ,
"*GCC 6개국(UAE, 사우디아라비아, 쿠웨이트, 오만, 카타르, 바레인)",,,,,,,,,,
