2020. 9. 관광통계,,,,,,,,,,,,
,,,,,,,,,"(단위: 명, %)",,,
,스페인,68 ,"3,134 ",-97.8 ,0.1 ,"3,365 ","23,173 ",-85.5 ,0.1 ,,,
,루마니아,224 ,"1,179 ",-81.0 ,0.3 ,"2,540 ","9,672 ",-73.7 ,0.1 ,,,
,노르웨이,55 ,"1,054 ",-94.8 ,0.1 ,"1,366 ","9,052 ",-84.9 ,0.1 ,,,
,스웨덴,66 ,"2,010 ",-96.7 ,0.1 ,"2,008 ","14,516 ",-86.2 ,0.1 ,,,
,폴란드,365 ,"2,570 ",-85.8 ,0.6 ,"4,599 ","18,161 ",-74.7 ,0.2 ,,,
,스위스,55 ,"1,923 ",-97.1 ,0.1 ,"1,739 ","13,524 ",-87.1 ,0.1 ,,,
,포르투갈,20 ,"1,000 ",-98.0 ,0.0 ,"1,478 ","8,333 ",-82.3 ,0.1 ,,,
,오스트리아,100 ,"1,369 ",-92.7 ,0.2 ,"2,081 ","9,215 ",-77.4 ,0.1 ,,,
,핀란드,191 ,"1,264 ",-84.9 ,0.3 ,"2,501 ","10,168 ",-75.4 ,0.1 ,,,
,벨기에,94 ,"1,542 ",-93.9 ,0.1 ,"2,111 ","11,075 ",-80.9 ,0.1 ,,,
,크로아티아,153 ,494 ,-69.0 ,0.2 ,"1,696 ","4,540 ",-62.6 ,0.1 ,,,
,그리스,188 ,"1,023 ",-81.6 ,0.3 ,"2,536 ","7,097 ",-64.3 ,0.1 ,,,
,불가리아,112 ,633 ,-82.3 ,0.2 ,"1,153 ","4,968 ",-76.8 ,0.0 ,,,
,덴마크,60 ,"1,244 ",-95.2 ,0.1 ,"1,838 ","9,749 ",-81.1 ,0.1 ,,,
,아일랜드,39 ,"1,176 ",-96.7 ,0.1 ,"1,508 ","7,404 ",-79.6 ,0.1 ,,,
,구주 기타,386 ,"4,421 ",-91.3 ,0.6 ,"7,910 ","33,948 ",-76.7 ,0.3 ,,,
,구주소계,"8,279","102,751",-91.9 ,12.7 ,"187,281 ","819,458 ",-77.1 ,8.0 ,,,
대양주,오스트레일리아,145 ,"17,269 ",-99.2 ,0.2 ,"22,534 ","124,332 ",-81.9 ,1.0 ,,,
,뉴질랜드,91 ,"4,035 ",-97.7 ,0.1 ,"6,277 ","27,506 ",-77.2 ,0.3 ,,,
,대양주 기타,40 ,526 ,-92.4 ,0.1 ,577 ,"4,886 ",-88.2 ,0.0 ,,,
,대양주소계,276,"21,830",-98.7 ,0.4 ,"29,388 ","156,724 ",-81.2 ,1.3 ,,,
아프리카,남아프리카공화국,86 ,"1,197 ",-92.8 ,0.1 ,"2,873 ","10,349 ",-72.2 ,0.1 ,,,
,아프리카 기타,575 ,"5,119 ",-88.8 ,0.9 ,"9,132 ","35,067 ",-74.0 ,0.4 ,,,
,아프리카소계,661,"6,316",-89.5 ,1.0 ,"12,005 ","45,416 ",-73.6 ,0.5 ,,,
기타,국적미상,4,49,-91.8 ,0.0 ,139 ,494 ,-71.9 ,0.0 ,,,
교포,교포,"1,012","16,619",-93.9 ,1.6 ,"23,367 ","154,049 ",-84.8 ,1.0 ,,,
"*GCC 6개국(UAE, 사우디아라비아, 쿠웨이트, 오만, 카타르, 바레인)",,,,,,,,,,,,
