2020. 2. 관광통계,,,,,,,,,,,,
,,,,,,,,,"(단위: 명, %)",,,
,독일,"5,599 ","6,866 ",-18.5 ,0.8 ,"12,216 ","13,716 ",-10.9 ,0.6 ,,,
,프랑스,"5,120 ","5,830 ",-12.2 ,0.7 ,"11,102 ","11,404 ",-2.6 ,0.6 ,,,
,이탈리아,"1,718 ","2,384 ",-27.9 ,0.3 ,"4,598 ","5,115 ",-10.1 ,0.2 ,,,
,네덜란드,"2,067 ","2,357 ",-12.3 ,0.3 ,"4,623 ","4,626 ",-0.1 ,0.2 ,,,
,우크라이나,"1,618 ","2,080 ",-22.2 ,0.2 ,"3,573 ","4,342 ",-17.7 ,0.2 ,,,
,스페인,"1,068 ","1,373 ",-22.2 ,0.2 ,"2,628 ","2,741 ",-4.1 ,0.1 ,,,
,루마니아,471 ,771 ,-38.9 ,0.1 ,"1,327 ","1,643 ",-19.2 ,0.1 ,,,
,노르웨이,441 ,577 ,-23.6 ,0.1 ,984 ,"1,378 ",-28.6 ,0.1 ,,,
,스웨덴,650 ,927 ,-29.9 ,0.1 ,"1,497 ","1,909 ",-21.6 ,0.1 ,,,
,폴란드,"1,206 ","1,266 ",-4.7 ,0.2 ,"2,764 ","2,590 ",6.7 ,0.1 ,,,
,스위스,566 ,877 ,-35.5 ,0.1 ,"1,328 ","1,624 ",-18.2 ,0.1 ,,,
,포르투갈,299 ,670 ,-55.4 ,0.0 ,"1,019 ","1,234 ",-17.4 ,0.1 ,,,
,오스트리아,668 ,746 ,-10.5 ,0.1 ,"1,358 ","1,522 ",-10.8 ,0.1 ,,,
,핀란드,780 ,933 ,-16.4 ,0.1 ,"1,665 ","1,792 ",-7.1 ,0.1 ,,,
,벨기에,547 ,654 ,-16.4 ,0.1 ,"1,269 ","1,363 ",-6.9 ,0.1 ,,,
,크로아티아,286 ,447 ,-36.0 ,0.0 ,753 ,938 ,-19.7 ,0.0 ,,,
,그리스,663 ,607 ,9.2 ,0.1 ,"1,286 ","1,382 ",-6.9 ,0.1 ,,,
,불가리아,218 ,326 ,-33.1 ,0.0 ,569 ,757 ,-24.8 ,0.0 ,,,
,덴마크,640 ,694 ,-7.8 ,0.1 ,"1,305 ","1,445 ",-9.7 ,0.1 ,,,
,아일랜드,465 ,613 ,-24.1 ,0.1 ,"1,180 ","1,208 ",-2.3 ,0.1 ,,,
,구주 기타,"2,432 ","2,674 ",-9.1 ,0.4 ,"5,651 ","5,639 ",0.2 ,0.3 ,,,
,구주소계,"55,245","61,549",-10.2 ,8.1 ,"128,426 ","131,587 ",-2.4 ,6.6 ,,,
대양주,오스트레일리아,"6,857 ","8,331 ",-17.7 ,1.0 ,"20,896 ","22,616 ",-7.6 ,1.1 ,,,
,뉴질랜드,"1,912 ","1,863 ",2.6 ,0.3 ,"5,465 ","4,588 ",19.1 ,0.3 ,,,
,대양주 기타,123 ,428 ,-71.3 ,0.0 ,286 ,"1,042 ",-72.6 ,0.0 ,,,
,대양주소계,"8,892","10,622",-16.3 ,1.3 ,"26,647 ","28,246 ",-5.7 ,1.4 ,,,
아프리카,남아프리카공화국,"1,004 ","1,191 ",-15.7 ,0.1 ,"2,276 ","2,191 ",3.9 ,0.1 ,,,
,아프리카 기타,"3,156 ","3,476 ",-9.2 ,0.5 ,"6,082 ","6,166 ",-1.4 ,0.3 ,,,
,아프리카소계,"4,160","4,667",-10.9 ,0.6 ,"8,358 ","8,357 ",0.0 ,0.4 ,,,
기타,국적미상,40,39,2.6 ,0.0 ,101 ,93 ,8.6 ,0.0 ,,,
교포,교포,"7,609","14,459",-47.4 ,1.1 ,"16,401 ","29,985 ",-45.3 ,0.8 ,,,
"*GCC 6개국(UAE, 사우디아라비아, 쿠웨이트, 오만, 카타르, 바레인)",,,,,,,,,,,,
